,員工滿意度,雇主評分,工作項目,每月工作時數,工作年資,工傷紀錄,在職中,近5年升遷,職務,薪資
112,0.38,0.49,2,132,3,0,1,0,技術支援,1
113,0.7,0.89,3,183,5,0,1,0,技術支援,1
114,0.09,0.82,6,250,4,0,1,0,技術支援,1
115,0.37,0.45,2,151,3,0,1,0,技術支援,1
116,0.1,0.83,6,292,4,0,1,0,技術支援,1
117,0.38,0.57,2,140,3,0,1,0,技術支援,1
118,0.9,1,5,221,5,0,1,0,技術支援,1
119,0.44,0.51,2,138,3,0,1,0,技術支援,1
120,0.36,0.5,2,132,3,0,1,0,技術員,1
121,0.31,0.84,7,133,5,0,1,0,技術員,1
122,0.1,0.84,6,283,4,1,1,0,技術員,1
123,0.42,0.48,2,129,3,0,1,0,經理,1
124,0.74,1,4,249,5,0,1,0,資訊科技,1
125,0.73,0.87,5,257,5,0,1,0,資訊科技,1
126,0.09,0.96,6,245,4,0,1,0,資訊科技,1
127,0.45,0.53,2,155,3,0,1,0,資訊科技,1
128,0.11,0.8,6,256,4,0,1,0,資訊科技,1
129,0.37,0.47,2,152,3,0,1,0,產品管理,1
130,0.84,0.99,4,267,5,0,1,0,產品管理,1
131,0.41,0.46,2,151,3,0,1,0,產品管理,1
132,0.76,0.92,4,239,5,0,1,0,產品管理,1
133,0.11,0.87,6,306,4,0,1,0,資訊科技,1
134,0.84,0.88,4,263,5,1,1,0,行銷,1
135,0.39,0.5,2,147,3,0,1,0,行銷,1
136,0.11,0.91,6,278,4,0,1,0,行銷,1
137,0.45,0.56,2,154,3,0,1,0,行銷,1
138,0.37,0.52,2,143,3,0,1,0,行銷,1
139,0.4,0.52,2,155,3,0,1,0,行銷,1
140,0.39,0.48,2,160,3,0,1,0,業務,1
141,0.11,0.8,6,304,4,0,1,0,財務會計,1
142,0.83,1,5,240,5,0,1,0,技術支援,1
143,0.11,0.92,6,305,4,0,1,0,技術員,1
144,0.39,0.5,2,136,3,0,1,0,經理,1
145,0.45,0.45,2,132,3,0,1,0,行銷,1
146,0.1,0.95,7,301,4,0,1,0,行銷,1
147,0.9,0.98,5,243,6,0,1,0,行銷,1
148,0.45,0.51,2,147,3,0,1,0,業務,1
149,0.79,0.89,5,239,5,0,1,0,業務,1
150,0.9,0.99,5,260,5,0,1,0,業務,1
151,0.11,0.84,7,296,4,0,1,0,業務,1
152,0.43,0.55,2,129,3,0,1,0,業務,1
153,0.31,0.54,5,132,5,0,1,0,業務,1
154,0.32,0.5,2,135,5,0,1,0,業務,1
155,0.45,0.57,2,158,3,0,1,0,業務,1
156,0.81,0.99,4,259,5,0,1,0,業務,1
157,0.41,0.46,2,160,3,0,1,1,業務,1
158,0.11,0.78,7,278,4,0,1,0,業務,1
159,0.1,0.88,6,284,4,0,1,0,業務,1
160,0.7,0.53,2,274,4,0,1,0,業務,1
161,0.54,0.74,4,164,2,0,1,0,業務,1
162,0.41,0.48,2,148,3,0,1,0,業務,1
163,0.38,0.5,2,140,3,0,1,0,業務,2
164,0.37,0.51,2,127,3,0,1,0,業務,2
165,0.11,0.85,6,308,5,0,1,0,業務,2
166,0.4,0.47,2,146,3,0,1,0,業務,2
167,0.1,0.84,6,261,4,0,1,0,財務會計,2
168,0.89,0.99,5,257,5,0,1,0,財務會計,2
169,0.11,0.8,6,285,4,0,1,0,財務會計,2
170,0.36,0.55,2,141,3,0,1,0,人力資源,2
171,0.4,0.46,2,127,3,0,1,0,人力資源,2
172,0.09,0.85,6,297,4,0,1,0,人力資源,2
173,0.4,0.46,2,143,3,0,1,0,人力資源,2
174,0.37,0.55,2,152,3,0,1,0,技術員,2
175,0.44,0.51,2,156,3,0,1,0,技術員,3
176,0.09,0.8,7,283,5,0,1,0,技術員,1
177,0.92,0.87,4,226,6,1,1,0,技術員,2
178,0.74,0.91,4,232,5,0,1,0,技術員,2
179,0.09,0.82,6,249,4,0,1,0,技術員,2
180,0.89,0.95,4,275,5,0,1,0,技術員,2
181,0.09,0.8,6,304,4,0,1,0,技術員,1
182,0.27,0.54,7,278,3,0,1,0,技術員,1
183,0.1,0.91,6,287,4,0,1,0,技術員,1
184,0.1,0.89,7,285,4,0,1,0,技術員,1
185,0.77,0.94,5,226,6,0,1,0,技術支援,1
186,0.9,0.82,5,259,5,0,1,0,技術支援,1
187,0.39,0.5,2,135,3,0,1,0,技術支援,1
188,0.76,1,5,219,5,0,1,0,技術支援,1
189,0.1,0.93,6,256,4,0,1,0,技術支援,1
190,0.87,0.9,5,254,6,0,1,0,技術支援,1
191,0.38,0.5,2,153,3,0,1,0,技術支援,1
192,0.77,0.99,5,228,5,0,1,0,技術支援,1
193,0.78,0.87,4,228,5,0,1,0,技術支援,1
194,0.44,0.5,2,128,3,0,1,0,技術支援,1
195,0.38,0.52,2,153,3,0,1,0,技術支援,1
196,0.43,0.46,2,156,3,0,1,0,技術員,1
197,0.39,0.5,4,294,3,0,1,0,技術員,1
198,0.88,1,5,219,5,0,1,0,技術員,1
199,0.45,0.46,2,153,3,0,1,0,經理,1
200,0.4,0.53,2,151,3,0,1,0,資訊科技,1
201,0.36,0.51,2,155,3,0,1,0,資訊科技,1
202,0.36,0.48,2,158,3,0,1,0,資訊科技,1
203,0.9,0.98,5,245,5,0,1,0,資訊科技,1
204,0.43,0.53,2,131,3,0,1,0,資訊科技,1
205,0.89,0.87,5,225,5,0,1,0,產品管理,1
206,0.1,0.84,6,286,4,0,1,0,產品管理,1
207,0.37,0.5,2,135,3,0,1,0,產品管理,1
208,0.37,0.51,2,153,3,0,1,0,產品管理,1
209,0.87,0.9,5,252,5,0,1,0,資訊科技,1
210,0.4,0.56,2,149,3,0,1,0,財務會計,1
211,0.9,0.97,4,258,5,0,1,0,財務會計,1
212,0.37,0.46,2,158,3,0,1,0,人力資源,1
213,0.44,0.54,2,149,3,0,1,0,人力資源,1
214,0.85,0.95,5,236,5,0,1,0,人力資源,1
215,0.78,0.98,5,239,6,0,1,0,行銷,1
216,0.42,0.47,2,159,3,0,1,0,行銷,1
217,0.92,0.99,5,255,6,0,1,0,業務,1
218,0.11,0.83,6,244,4,0,1,0,財務會計,1
219,0.42,0.56,2,134,3,0,1,0,技術支援,1
220,0.48,0.57,4,270,4,0,1,0,技術員,1
221,0.83,0.85,4,255,5,0,1,0,經理,1
222,0.4,0.53,2,151,3,0,1,0,行銷,1
223,0.43,0.45,2,135,3,0,1,0,行銷,1
224,0.43,0.53,2,146,3,0,1,0,行銷,1
225,0.1,0.97,7,254,4,0,1,0,業務,1
226,0.1,0.87,7,289,4,0,1,0,業務,1
227,0.37,0.46,2,156,3,0,1,0,業務,1
228,0.38,0.53,2,156,3,0,1,0,業務,1
229,0.4,0.5,2,128,3,0,1,0,業務,1
230,0.89,0.86,5,275,5,0,1,0,業務,1
231,0.45,0.46,2,155,3,0,1,0,業務,1
232,0.37,0.48,2,159,3,0,1,0,業務,1
233,0.46,0.49,2,148,3,0,1,0,業務,1
234,0.87,0.91,4,228,5,0,1,0,業務,1
235,0.11,0.84,6,298,4,0,1,0,業務,1
236,0.79,0.87,5,261,5,0,1,0,業務,1
237,0.79,0.92,5,254,6,0,1,0,業務,1
238,0.19,0.59,7,192,3,0,1,0,業務,1
239,0.87,0.98,4,248,5,0,1,0,業務,1
240,0.6,0.92,2,258,5,0,1,0,業務,1
241,0.44,0.45,2,156,3,0,1,0,業務,2
242,0.11,0.81,6,266,4,1,1,0,業務,2
243,0.42,0.54,2,156,3,0,1,0,業務,2
244,0.88,0.88,5,232,5,1,1,0,財務會計,2
245,0.11,0.84,6,287,4,0,1,0,財務會計,2
246,0.46,0.46,2,154,3,0,1,0,財務會計,2
247,0.82,0.97,5,263,5,0,1,0,人力資源,2
248,0.44,0.56,2,131,3,0,1,0,人力資源,2
249,0.11,0.78,6,260,4,0,1,0,人力資源,2
250,0.42,0.5,2,139,3,0,1,0,人力資源,2
251,0.84,0.93,4,251,5,0,1,0,技術員,2
252,0.11,0.95,6,286,4,0,1,0,技術員,2
253,0.45,0.53,2,129,3,0,1,0,技術員,3
254,0.38,0.56,2,156,3,0,1,0,技術員,1
255,0.38,0.86,6,139,6,0,1,0,技術員,2
256,0.44,0.51,2,127,3,0,1,0,技術員,2
257,0.11,0.84,6,251,4,0,1,0,技術員,2
258,0.81,0.93,5,270,5,0,1,0,技術員,2
259,0.09,0.96,6,296,4,0,1,0,技術員,1
260,0.11,0.9,6,254,4,0,1,0,技術員,1
261,0.81,0.95,5,238,6,0,1,0,技術員,1
262,0.1,0.97,6,267,4,1,1,0,技術支援,1
263,0.74,0.89,5,229,6,0,1,0,技術支援,1
264,0.09,0.78,6,254,4,0,1,0,技術支援,1
265,0.82,0.81,4,233,4,1,1,0,技術支援,1
266,0.1,0.98,6,268,4,0,1,0,技術支援,1
267,0.27,0.56,3,301,3,0,1,0,技術支援,1
268,0.83,0.92,5,267,6,0,1,0,技術支援,1
269,0.1,0.93,6,289,4,1,1,0,技術支援,1
270,0.38,0.47,2,144,3,0,1,0,技術支援,1
271,0.4,0.56,2,148,3,0,1,0,技術支援,1
272,0.11,0.83,6,306,4,0,1,0,技術支援,1
273,0.11,0.79,6,292,4,0,1,1,技術員,1
274,0.82,0.91,5,232,5,0,1,0,技術員,1
275,0.36,0.48,2,137,3,0,1,0,技術員,1
276,0.4,0.46,2,128,3,0,1,0,經理,1
277,0.87,0.84,5,231,5,0,1,0,資訊科技,1
278,0.41,0.49,2,146,3,0,1,0,資訊科技,1
279,0.11,0.91,6,308,4,1,1,0,資訊科技,1
280,0.1,0.93,6,253,4,0,1,0,資訊科技,2
281,0.38,0.51,2,146,3,0,1,0,資訊科技,2
282,0.39,0.55,2,156,3,0,1,0,產品管理,2
283,0.4,0.52,2,147,3,0,1,0,產品管理,2
284,0.45,0.48,2,136,3,0,1,0,產品管理,2
285,0.74,0.84,5,249,5,0,1,0,產品管理,2
286,0.45,0.55,2,151,3,0,1,0,資訊科技,2
287,0.12,1,3,278,4,0,1,0,研發,2
288,0.1,0.77,7,250,5,0,1,0,研發,2
289,0.37,0.55,2,127,3,0,1,0,研發,2
290,0.89,0.87,5,255,5,0,1,0,研發,2
291,0.45,0.47,2,135,3,0,1,0,研發,2
292,0.37,0.46,2,149,3,0,1,0,行銷,3
293,0.11,0.81,5,287,4,0,1,0,業務,1
294,0.41,0.48,2,145,3,0,1,0,財務會計,2
295,0.1,0.94,6,285,4,0,1,0,技術支援,2
296,0.1,0.93,7,305,4,0,1,0,技術員,2
297,0.11,0.95,7,300,4,0,1,0,經理,2
298,0.4,0.54,2,139,3,0,1,0,行銷,1
299,0.41,0.49,2,130,3,0,1,0,行銷,1
300,0.1,0.81,6,268,4,0,1,0,行銷,1
301,0.73,0.86,4,245,6,0,1,0,業務,1
302,0.43,0.47,2,135,3,0,1,0,業務,1
303,0.37,0.46,2,153,3,0,1,0,業務,1
304,0.11,0.94,6,276,4,0,1,0,業務,1
305,0.4,0.46,2,130,3,0,1,0,業務,1
306,0.41,0.54,2,153,3,1,1,0,業務,1
307,0.82,0.84,5,244,5,0,1,0,業務,1
308,0.61,0.47,2,253,3,0,1,0,業務,1
309,0.11,0.91,7,287,4,0,1,0,業務,1
310,0.37,0.45,2,131,3,0,1,0,業務,1
311,0.41,0.52,2,135,3,0,1,0,業務,1
312,0.37,0.52,2,157,3,0,1,0,業務,1
313,0.88,0.99,5,262,6,0,1,0,業務,1
314,0.1,0.85,6,266,4,0,1,0,業務,1
315,0.44,0.48,2,148,3,0,1,0,業務,1
316,0.38,0.57,2,140,3,0,1,0,業務,1
317,0.11,0.85,7,302,4,0,1,0,業務,1
318,0.09,0.98,6,271,4,0,1,0,業務,1
319,0.45,0.52,2,145,3,0,1,0,業務,2
320,0.1,0.81,6,290,4,0,1,0,財務會計,2
321,0.45,0.47,2,151,3,0,1,0,財務會計,2
322,0.77,0.87,5,266,5,0,1,0,財務會計,2
323,0.44,0.51,2,140,3,0,1,0,人力資源,2
324,0.39,0.5,2,142,3,0,1,0,人力資源,2
325,0.1,0.91,6,246,4,0,1,0,人力資源,2
326,0.09,0.89,7,308,5,0,1,0,人力資源,2
327,0.37,0.47,2,141,3,0,1,0,技術員,2
328,0.9,1,5,232,5,0,1,0,技術員,2
329,0.41,0.56,2,143,3,0,1,0,技術員,2
330,0.37,0.52,2,155,3,0,1,0,技術員,2
331,0.1,0.86,6,278,4,0,1,0,技術員,3
332,0.81,1,4,253,5,0,1,0,技術員,1
333,0.11,0.8,6,282,4,0,1,0,技術員,2
334,0.11,0.84,7,264,4,0,1,0,技術員,2
335,0.4,0.46,2,149,3,0,1,0,技術員,2
336,0.09,0.8,6,304,5,0,1,0,技術員,2
337,0.48,0.93,3,219,6,0,1,0,技術員,1
338,0.91,0.91,4,262,6,0,1,0,技術支援,1
339,0.43,0.57,2,135,3,0,1,0,技術支援,1
340,0.33,0.88,6,219,5,0,1,0,技術支援,1
341,0.41,0.57,2,136,3,0,1,0,技術支援,1
342,0.41,0.55,2,154,3,0,1,0,技術支援,1
343,0.37,0.54,2,149,3,0,1,0,技術支援,1
344,0.31,0.62,6,135,5,0,1,0,技術支援,1
345,0.09,0.91,6,275,4,0,1,0,技術支援,1
346,0.1,0.87,6,290,4,0,1,0,技術支援,1
347,0.76,0.9,4,263,5,0,1,0,技術支援,1
348,0.41,0.54,2,145,3,0,1,0,技術支援,1
349,0.72,0.96,5,267,5,0,1,0,技術員,1
350,0.4,0.5,2,141,3,1,1,0,技術員,1
351,0.91,0.87,4,235,5,0,1,0,技術員,1
352,0.1,0.83,6,258,4,0,1,0,經理,1
353,0.4,0.56,2,131,3,0,1,0,資訊科技,1
354,0.82,0.86,5,243,5,0,1,0,資訊科技,1
355,0.1,0.82,6,266,4,0,1,0,資訊科技,1
356,0.37,0.45,2,142,3,0,1,0,資訊科技,1
357,0.36,0.51,2,135,3,0,1,0,資訊科技,1
358,0.39,0.48,2,141,3,0,1,0,產品管理,2
359,0.36,0.57,2,142,3,0,1,0,產品管理,2
360,0.86,0.84,5,254,5,0,1,0,產品管理,2
361,0.73,0.99,5,262,5,0,1,0,產品管理,2
362,0.56,0.71,4,296,2,0,1,0,資訊科技,2
363,0.44,0.56,2,158,3,0,1,0,財務會計,2
364,0.31,0.56,4,238,2,0,1,0,財務會計,2
365,0.77,0.93,4,231,5,0,1,0,人力資源,2
366,0.44,0.45,2,156,3,0,1,0,人力資源,2
367,0.38,0.46,2,145,3,0,1,0,人力資源,2
368,0.45,0.48,2,144,3,0,1,0,行銷,2
369,0.38,0.51,2,159,3,0,1,0,業務,2
370,0.36,0.48,2,156,3,0,1,0,財務會計,3
371,0.75,0.9,5,256,5,0,1,0,技術支援,1
372,0.1,0.93,6,298,4,0,1,0,技術員,2
373,0.1,0.97,6,247,4,0,1,0,經理,2
374,0.45,0.5,2,157,3,0,1,0,行銷,2
375,0.42,0.57,2,154,3,1,1,0,行銷,2
376,0.78,1,4,253,5,0,1,0,行銷,1
377,0.45,0.55,2,148,3,0,1,0,業務,1
378,0.84,1,4,261,5,0,1,0,業務,1
379,0.11,0.93,6,282,4,0,1,0,業務,1
380,0.42,0.56,2,133,3,0,1,0,業務,1
381,0.45,0.46,2,128,3,0,1,0,業務,1
382,0.46,0.57,2,139,3,0,1,0,業務,1
383,0.09,0.79,6,293,5,0,1,0,業務,1
384,0.87,0.83,4,265,6,0,1,0,業務,1
385,0.1,0.87,6,250,4,0,1,0,業務,1
386,0.91,1,5,251,6,0,1,0,業務,1
387,0.76,0.92,4,246,5,0,1,0,業務,1
388,0.74,1,5,275,5,0,1,0,業務,1
389,0.92,0.93,5,240,5,0,1,0,業務,1
390,0.76,0.87,5,245,5,0,1,0,業務,1
391,0.47,0.5,4,254,4,0,1,0,業務,1
392,0.73,0.99,5,241,5,0,1,0,業務,1
393,0.09,0.94,6,257,4,0,1,0,業務,1
394,0.91,0.92,4,246,5,0,1,0,業務,1
395,0.82,0.98,4,233,5,0,1,0,業務,1
396,0.28,0.45,6,218,4,0,1,0,財務會計,1
397,0.84,0.99,4,262,6,0,1,0,財務會計,2
398,0.45,0.53,2,138,3,0,1,0,財務會計,2
399,0.45,0.54,2,142,3,0,1,0,人力資源,2
400,0.91,0.97,5,233,5,0,1,0,人力資源,2
401,0.42,0.48,2,155,3,0,1,0,人力資源,2
402,0.82,1,4,229,6,0,1,0,人力資源,2
403,0.11,0.9,6,264,4,0,1,0,技術員,2
404,0.42,0.53,3,199,4,0,1,0,技術員,2
405,0.82,0.85,4,223,5,0,1,0,技術員,2
406,0.09,0.96,6,268,4,0,1,0,技術員,2
407,0.1,0.94,6,287,4,0,1,0,技術員,2
408,0.86,1,5,257,5,0,1,0,技術員,2
409,0.4,0.46,2,143,3,0,1,0,技術員,3
410,0.45,0.46,2,130,3,0,1,0,技術員,1
411,0.42,0.51,2,136,3,0,1,0,技術員,2
412,0.74,0.92,4,261,5,0,1,0,技術員,2
413,0.55,0.6,3,180,4,0,1,0,技術員,2
414,0.37,0.45,2,126,3,0,1,0,技術支援,2
415,0.41,0.52,2,127,3,1,1,0,技術支援,1
416,0.89,0.65,5,195,6,0,1,0,技術支援,1
417,0.41,0.57,2,160,3,0,1,0,技術支援,1
418,0.44,0.51,2,150,3,0,1,0,技術支援,1
419,0.87,0.84,4,264,6,0,1,0,技術支援,1
420,0.1,0.84,6,309,4,0,1,0,技術支援,1
421,0.41,0.47,2,135,3,0,1,0,技術支援,1
422,0.11,0.85,6,261,4,0,1,0,技術支援,1
423,0.43,0.53,2,160,3,0,1,0,技術支援,1
424,0.77,0.9,4,237,5,0,1,0,技術支援,1
425,0.41,0.52,2,136,3,0,1,0,技術員,1
426,0.41,0.48,2,139,3,0,1,0,技術員,1
427,0.36,0.78,2,151,4,0,1,0,技術員,1
428,0.77,1,5,229,5,0,1,0,經理,1
429,0.81,0.98,5,245,5,0,1,0,資訊科技,1
430,0.39,0.54,2,127,3,0,1,0,資訊科技,1
431,0.09,0.94,6,283,5,0,1,0,資訊科技,1
432,0.44,0.46,2,143,3,0,1,0,資訊科技,1
433,0.1,0.84,5,298,4,0,1,0,資訊科技,1
434,0.36,0.48,2,159,3,0,1,0,產品管理,1
435,0.81,0.92,5,239,5,0,1,0,產品管理,1
436,0.81,0.9,4,226,5,0,1,0,產品管理,2
437,0.85,0.98,5,248,5,0,1,0,產品管理,2
438,0.1,0.87,6,286,4,0,1,0,資訊科技,2
439,0.37,0.54,2,145,3,0,1,0,研發,2
440,0.09,0.97,7,254,4,1,1,0,研發,2
441,0.44,0.53,2,127,3,0,1,0,研發,2
442,0.86,0.93,5,223,5,0,1,0,研發,2
443,0.77,1,4,255,5,0,1,0,研發,2
444,0.41,0.48,2,136,3,0,1,0,行銷,2
445,0.4,0.48,2,137,3,0,1,0,業務,2
446,0.43,0.49,2,135,3,0,1,0,財務會計,2
447,0.43,0.5,2,137,3,0,1,0,技術支援,2
448,0.8,0.53,3,255,5,0,1,0,技術員,3
449,0.8,0.85,4,273,5,0,1,0,經理,1
450,0.82,0.98,5,234,5,0,1,0,行銷,2
451,0.37,0.54,2,152,3,0,1,0,行銷,2
452,0.37,0.48,2,134,3,0,1,0,行銷,2
453,0.09,0.95,6,292,4,0,1,0,業務,2
454,0.9,0.92,5,245,5,0,1,0,業務,1
455,0.41,0.52,2,159,3,0,1,0,業務,1
456,0.1,0.85,6,260,4,0,1,0,業務,1
457,0.44,0.53,2,149,3,0,1,0,業務,1
458,0.89,0.85,5,266,5,0,1,0,業務,1
459,0.42,0.56,2,149,3,0,1,0,業務,1
460,0.87,1,5,242,5,0,1,0,業務,1
461,0.45,0.57,2,134,3,0,1,0,業務,1
462,0.11,0.87,5,271,4,0,1,0,業務,1
463,0.09,0.79,6,275,4,0,1,0,業務,1
464,0.76,0.83,5,227,5,0,1,0,業務,1
465,0.11,0.96,7,277,5,0,1,0,業務,1
466,0.37,0.49,2,151,3,0,1,0,業務,1
467,0.1,0.79,6,274,4,0,1,0,業務,1
468,0.77,0.87,4,242,6,0,1,0,業務,1
469,0.42,0.54,2,143,3,1,1,0,業務,1
470,0.38,0.52,2,145,3,0,1,0,業務,1
471,0.32,0.95,5,172,2,0,1,0,業務,1
472,0.38,0.49,2,135,3,0,1,0,財務會計,1
473,0.19,1,4,192,4,0,1,0,財務會計,1
474,0.1,0.83,7,276,4,0,1,0,財務會計,1
475,0.76,0.88,4,206,4,0,1,0,人力資源,2
476,0.53,0.56,4,281,6,0,1,0,人力資源,2
477,0.39,0.51,2,151,3,0,1,0,人力資源,2
478,0.11,0.83,6,244,4,0,1,0,人力資源,2
479,0.1,0.94,6,309,4,0,1,0,技術員,2
480,0.84,1,5,218,5,0,1,0,技術員,2
481,0.82,0.99,4,263,6,0,1,0,技術員,2
482,0.1,0.82,6,244,4,0,1,0,技術員,2
483,0.59,0.49,7,263,4,0,1,0,技術員,2
484,0.44,0.48,2,143,3,0,1,0,技術員,2
485,0.89,0.95,2,181,5,0,1,0,技術員,2
486,0.91,0.84,5,265,5,0,1,0,技術員,2
487,0.66,0.57,5,161,5,0,1,0,技術員,3
488,0.11,0.87,7,282,5,0,1,0,技術員,1
489,0.43,0.51,2,155,3,0,1,0,技術員,2
490,0.78,0.83,4,217,6,0,1,0,技術支援,2
491,0.11,0.97,6,289,5,0,1,0,技術支援,2
492,0.83,0.98,4,259,5,0,1,0,技術支援,2
493,0.39,0.54,2,158,3,0,1,0,技術支援,1
494,0.38,0.55,2,158,3,0,1,0,技術支援,1
